order_id,order_date,customer_id,customer_segment,pincode,product_id,product_name,category,brand,quantity,item_price,margin_percent,order_total,delivery_delay_minutes,distance_km,delivery_performance,rating,sentiment,feedback_category,stock_received,damaged_stock,usable_stock,damage_%,is_delayed_flag,negative_feedback_flag,gross_margin_value,distance_bucket
1961864118,2024-07-17 08:34:01,30065862,Regular,911359,642612,Pet Treats,Pet Care,Pillay-Ahuja,3,517.03,35,3197.07,-5,0.96,On Time,4,Neutral,Delivery,0,0,0,0.00%,0,0,1118.9745,0-1 km
1549769649,2024-05-28 13:14:29,9573071,New,856100,378676,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,1,881.42,30,976.55,2,0.98,On Time,3,Negative,App Experience,3,0,3,0.00%,0,1,292.965,0-1 km
9185164487,2024-09-23 13:07:12,45477575,Inactive,117423,741341,Eggs,Dairy & Breakfast,Prasad LLC,2,923.84,20,839.05,4,3.83,On Time,3,Neutral,App Experience,0,0,0,0.00%,0,0,167.81,3-4 km
9644738826,2023-11-24 16:16:56,88067569,Premium,288459,561860,Orange Juice,Cold Drinks & Juices,Gupta Ltd,1,874.78,30,440.23,-1,2.76,On Time,4,Neutral,App Experience,4,0,4,0.00%,0,0,132.069,2-3 km
5427684290,2023-11-20 05:00:39,83298567,Premium,149383,602241,Nuts,Snacks & Munchies,Bahl-Pau,2,976.55,35,2526.68,1,2.63,On Time,3,Negative,Delivery,1,1,0,100.00%,0,1,884.338,2-3 km
3265154092,2023-03-18 16:29:51,43367112,New,276624,681063,Mango Drink,Cold Drinks & Juices,Dass and Sons,1,321.28,30,3161.43,-1,1.94,On Time,2,Negative,Customer Service,0,0,0,0.00%,0,1,948.429,1-2 km
4898355547,2023-04-16 18:50:37,13284996,Regular,363237,56589,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",3,517.77,20,956.4,1,2.2,On Time,4,Positive,Product Quality,4,0,4,0.00%,0,0,191.28,2-3 km
6568151549,2024-03-31 06:26:48,88866835,Premium,65460,500739,Bread,Dairy & Breakfast,Aggarwal Group,2,359.98,20,905.47,2,1.3,On Time,2,Negative,App Experience,4,0,4,0.00%,0,1,181.094,1-2 km
6006693867,2023-07-13 23:49:36,24496983,Regular,185526,490939,Lotion,Personal Care,"Roy, Barad and De",1,80.25,35,1371.17,3,3.38,On Time,3,Negative,Delivery,4,0,4,0.00%,0,1,479.9095,3-4 km
374186990,2023-08-09 01:17:30,52215833,Regular,414814,760828,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",2,563.45,35,1601.19,7,1.47,Slightly Delayed,3,Neutral,App Experience,0,0,0,0.00%,1,0,560.4165,1-2 km
4455336265,2023-08-30 19:37:06,43431724,New,217110,753354,Shampoo,Personal Care,Sant-Mahajan,3,423.56,35,2362.33,-2,0.76,On Time,2,Negative,Delivery,3,0,3,0.00%,0,1,826.8155,0-1 km
3539286337,2023-04-25 20:32:24,77559557,New,639717,684939,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",1,727.95,35,1463.8,-5,3.68,On Time,3,Neutral,Delivery,0,0,0,0.00%,0,0,512.33,3-4 km
9171116867,2023-10-22 11:15:33,87107263,Inactive,784029,500739,Bread,Dairy & Breakfast,Aggarwal Group,3,359.98,20,822.63,12,2.23,Slightly Delayed,4,Neutral,Customer Service,4,0,4,0.00%,1,0,164.526,2-3 km
5504941865,2024-01-28 02:39:11,76512976,New,874947,540618,Popcorn,Snacks & Munchies,Golla-Luthra,1,317.05,35,2287.68,11,4.45,Slightly Delayed,5,Positive,App Experience,3,0,3,0.00%,1,0,800.688,4-5 km
5868326481,2024-03-15 21:07:07,37556526,Inactive,243420,53833,Rice,Grocery & Staples,Tella-Master,3,134.69,15,1962.35,-3,2.8,On Time,4,Neutral,Product Quality,4,0,4,0.00%,0,0,294.3525,2-3 km
2137046916,2024-02-03 08:50:32,12059049,Regular,696590,455755,Detergent,Household Care,Mangal-Sathe,2,44.09,25,3373.96,-2,1.78,On Time,4,Positive,Customer Service,0,0,0,0.00%,0,0,843.49,1-2 km
8195544338,2023-04-26 04:03:57,26199489,Inactive,555849,131937,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",1,287.81,40,845.71,8,1.16,Slightly Delayed,4,Neutral,Delivery,0,0,0,0.00%,1,0,338.284,1-2 km
2889700050,2024-04-30 16:22:26,84848018,Regular,275189,798639,Eggs,Dairy & Breakfast,Subramaniam LLC,1,211.25,20,2706.54,3,3.07,On Time,4,Neutral,Delivery,3,0,3,0.00%,0,0,541.308,3-4 km
65827885,2023-07-27 00:13:05,47577193,Premium,410068,324809,Bread,Dairy & Breakfast,Sidhu PLC,3,608,20,1132.98,-5,1.65,On Time,1,Negative,Delivery,1,0,1,0.00%,0,1,226.596,1-2 km
4656471694,2023-12-09 08:08:08,60728956,Premium,785737,679284,Cough Syrup,Pharmacy,Pant LLC,1,877.89,20,1525.5,8,3.7,Slightly Delayed,3,Negative,Customer Service,3,2,1,66.67%,1,1,305.1,3-4 km
6625178717,2023-07-01 04:24:22,62068277,Regular,397881,952168,Popcorn,Snacks & Munchies,"Krishnamurthy, Sibal and Das",3,236.95,35,5718.09,13,4.22,Slightly Delayed,2,Negative,Product Quality,0,0,0,0.00%,1,1,2001.3315,4-5 km
7169557514,2023-03-21 05:27:13,84824280,Inactive,989821,706112,Vitamins,Pharmacy,"Magar, Gara and Garg",2,478.79,20,2970.9,12,3.28,Slightly Delayed,2,Negative,Product Quality,3,0,3,0.00%,1,1,594.18,3-4 km
2268306684,2024-05-28 14:59:08,66742602,New,749857,812607,Potatoes,Fruits & Vegetables,Rege Group,2,416.65,25,2991.57,-1,1.82,On Time,5,Positive,Delivery,4,2,2,50.00%,0,0,747.8925,1-2 km
6905293278,2024-06-16 10:23:23,97259564,Premium,14378,799952,Cheese,Dairy & Breakfast,Padmanabhan-Virk,1,922.64,20,1404.68,26,0.58,Significantly Delayed,3,Neutral,Delivery,0,0,0,0.00%,1,0,280.936,0-1 km
1769493463,2024-06-26 07:13:47,3292927,New,320465,709916,Detergent,Household Care,Varkey LLC,3,33.76,25,2541.32,-5,1.21,On Time,2,Negative,App Experience,0,0,0,0.00%,0,1,635.33,1-2 km
